year,month,intent,police,sex,age,race,hispanic,place,education
2012,5,2,0,0,45.0,4,100,1,1.0
2012,6,1,0,1,24.0,1,100,3,1.0
2012,6,1,0,0,65.0,1,100,1,2.0
2012,5,1,0,1,17.0,1,100,8,1.0
2012,6,2,0,0,48.0,4,100,1,4.0
2012,5,0,0,0,25.0,4,100,4,3.0
2012,6,2,0,1,58.0,4,100,1,2.0
2012,6,2,0,1,65.0,4,100,1,3.0
2012,6,2,0,1,20.0,4,100,8,2.0
2012,6,2,0,1,60.0,4,100,1,3.0
2012,6,2,0,1,66.0,4,100,1,2.0
2012,6,2,0,1,75.0,4,100,1,1.0
2012,5,1,0,1,58.0,1,100,8,3.0
2012,6,1,0,0,54.0,1,100,1,2.0
2012,5,2,0,1,56.0,4,100,1,3.0
2012,6,1,0,1,23.0,1,100,1,2.0
2012,6,1,0,1,25.0,1,100,8,2.0
2012,6,2,0,1,69.0,4,100,1,4.0
2012,6,1,0,1,34.0,1,100,3,1.0
2012,6,1,0,1,22.0,1,100,1,1.0
2012,6,2,0,1,43.0,4,100,1,2.0
2012,6,2,0,1,19.0,4,100,1,2.0
2012,5,1,0,1,38.0,1,100,1,3.0
2012,6,2,0,0,61.0,4,100,1,3.0
2012,7,2,0,1,65.0,4,100,1,2.0
2012,6,2,0,1,72.0,4,100,1,2.0
2012,6,1,0,1,33.0,1,100,4,1.0
2012,6,1,0,1,33.0,1,100,1,1.0
2012,6,2,0,1,39.0,4,100,4,2.0
2012,6,1,0,1,59.0,4,100,1,1.0
2012,7,2,0,1,29.0,4,100,1,3.0
2012,5,2,0,1,37.0,4,100,3,3.0
2012,7,2,0,1,66.0,4,100,1,4.0
2012,6,2,0,1,75.0,4,100,8,2.0
2012,7,1,0,0,20.0,1,100,3,3.0
2012,6,2,0,0,51.0,4,100,1,4.0
2012,6,1,0,1,31.0,1,100,6,1.0
2012,4,1,0,0,5.0,4,100,1,2.0
2012,7,1,0,0,40.0,4,100,1,3.0
2012,7,1,0,1,55.0,4,100,1,2.0
2012,6,1,0,1,22.0,1,100,8,1.0
2012,6,2,0,1,56.0,4,100,1,2.0
2012,7,2,0,1,29.0,4,100,1,2.0
2012,7,1,0,1,63.0,1,100,1,3.0
2012,7,2,0,1,79.0,4,100,1,2.0
2012,4,1,0,1,20.0,1,100,1,1.0
2012,7,2,0,1,17.0,4,100,1,1.0
2012,6,1,0,1,28.0,1,100,8,1.0
2012,7,2,0,1,69.0,4,100,1,1.0
2012,7,2,0,1,18.0,4,100,1,3.0
2012,7,2,0,1,45.0,4,100,1,2.0
2012,6,1,0,1,25.0,1,100,8,2.0
2012,6,2,0,1,48.0,1,100,9,2.0
2012,6,1,0,1,30.0,1,100,1,2.0
2012,6,2,0,0,54.0,4,100,1,2.0
2012,6,1,0,1,57.0,1,100,1,2.0
2012,7,2,0,1,50.0,4,100,1,1.0
2012,6,1,0,1,22.0,1,100,1,1.0
2012,7,2,0,1,81.0,4,100,4,3.0
2012,7,2,0,0,49.0,4,100,1,2.0
2012,6,2,0,1,44.0,4,100,1,4.0
2012,7,2,0,1,80.0,4,100,1,4.0
